iter	Passed	Remaining
0	2	2529
1	5	2743
2	7	2635
3	10	2542
4	12	2475
5	14	2432
6	16	2395
7	19	2381
8	22	2429
9	24	2425
10	26	2416
11	29	2409
12	31	2407
13	34	2406
14	37	2434
15	39	2447
16	42	2452
17	44	2452
18	47	2453
19	50	2458
20	53	2482
21	56	2502
22	59	2508
23	61	2511
24	64	2510
25	67	2514
26	70	2531
27	73	2534
28	75	2520
29	77	2519
30	80	2519
31	83	2525
32	86	2542
33	89	2556
34	93	2570
35	96	2578
36	100	2619
37	103	2627
38	106	2634
39	109	2639
40	112	2637
41	115	2641
42	118	2640
43	121	2635
44	123	2629
45	126	2621
46	128	2613
47	132	2620
48	134	2619
49	137	2616
50	140	2611
51	142	2605
52	145	2603
53	148	2609
54	151	2611
55	154	2610
56	157	2606
57	160	2605
58	163	2612
59	166	2608
60	169	2605
61	171	2601
62	174	2599
63	178	2604
64	180	2602
65	183	2598
66	186	2594
67	188	2589
68	191	2586
69	194	2589
70	197	2585
71	200	2580
72	202	2576
73	205	2573
74	208	2576
75	211	2575
76	214	2570
77	217	2567
78	219	2563
79	222	2559
80	225	2560
81	228	2558
82	231	2555
83	233	2550
84	236	2546
85	239	2543
86	242	2545
87	245	2543
88	248	2539
89	250	2536
90	253	2531
91	256	2534
92	259	2533
93	262	2530
94	265	2527
95	267	2522
96	270	2519
97	273	2520
98	276	2515
99	279	2511
100	281	2506
101	284	2502
102	287	2501
103	290	2499
104	292	2495
105	295	2491
106	297	2480
107	299	2475
108	303	2481
109	306	2479
110	309	2476
111	311	2473
112	314	2469
113	317	2467
114	321	2472
115	324	2470
116	327	2470
117	330	2469
118	333	2467
119	336	2468
120	339	2465
121	342	2462
122	344	2458
123	347	2454
124	350	2456
125	353	2453
126	356	2447
127	358	2443
128	361	2439
129	363	2435
130	367	2436
131	370	2433
132	372	2430
133	375	2426
134	378	2422
135	380	2417
136	383	2414
137	386	2412
138	388	2405
139	390	2400
140	393	2397
141	396	2395
142	399	2393
143	402	2390
144	404	2386
145	407	2383
146	410	2381
147	413	2381
148	416	2378
149	419	2374
150	421	2371
151	424	2366
152	427	2364
153	429	2359
154	432	2356
155	434	2353
156	437	2349
157	440	2347
158	443	2347
159	446	2345
160	449	2343
161	452	2341
162	455	2339
163	458	2337
164	461	2336
165	464	2333
166	467	2331
