iter	Logloss
0	0.6521096039
1	0.5997868729
2	0.561559906
3	0.5305477524
4	0.5096837997
5	0.4917824554
6	0.4730147552
7	0.4606780243
8	0.4480167389
9	0.4391652679
10	0.4332393646
11	0.4255514145
12	0.4190787506
13	0.413372879
14	0.4102882004
15	0.4053620529
16	0.4016126251
17	0.3985181427
18	0.3933580017
19	0.3890903473
20	0.3869732666
21	0.3840813446
22	0.3813396454
23	0.3788941956
24	0.3766202545
25	0.3749198914
26	0.3734815216
27	0.3716624069
28	0.3694665527
29	0.3673131561
30	0.3661581802
31	0.3629924774
32	0.3611138153
33	0.3604751205
34	0.358939209
35	0.3575864792
36	0.3568032074
37	0.3563981628
38	0.3558734894
39	0.3536381531
40	0.3531539154
41	0.3524311829
42	0.3508034515
43	0.3504439926
44	0.3500237656
45	0.3495436859
46	0.3485422516
47	0.3470988083
48	0.3466702271
49	0.3462149048
50	0.3458745575
51	0.344083786
52	0.3433562469
53	0.3427128601
54	0.341611557
55	0.3408937836
56	0.3399724579
57	0.3395114517
58	0.339006958
59	0.3383866882
60	0.3378902435
61	0.3374438477
62	0.3370732117
63	0.3363397217
64	0.334732933
65	0.3341823196
66	0.333571701
67	0.3330493164
68	0.3325934219
69	0.3322012329
70	0.331635437
71	0.331037674
72	0.3302876282
73	0.329573822
74	0.3289712524
75	0.3282784271
76	0.3275663757
77	0.3268660736
78	0.3260823441
79	0.3253278351
80	0.3245842361
81	0.3238574982
82	0.3231040192
83	0.3224150085
84	0.3217776489
85	0.3210704041
86	0.3204218674
87	0.319795208
88	0.3191490936
89	0.3184769249
90	0.3178264618
91	0.3171998978
92	0.3166067505
93	0.3159909058
94	0.3153614044
95	0.3147769547
96	0.3141743088
97	0.3135959244
98	0.313018856
99	0.3124447632
100	0.3118813896
101	0.3113347435
102	0.3107896805
103	0.310245533
104	0.3097057533
105	0.309166832
106	0.3086315918
107	0.308109169
108	0.3075741768
109	0.3070655823
110	0.3065533447
111	0.306040802
112	0.3055425262
113	0.305041008
114	0.3045398521
115	0.3040544701
116	0.3035705948
117	0.303082943
118	0.3025991821
119	0.3021187973
120	0.3016457558
121	0.3011750603
122	0.300714798
123	0.3002546692
124	0.2998023224
125	0.2993518066
126	0.2989051437
127	0.2984494781
128	0.2980035019
129	0.2975616074
130	0.2971203423
131	0.2966746521
132	0.296241684
133	0.2958063889
134	0.2953672218
135	0.2949376297
136	0.2945102119
137	0.2940860939
138	0.2936722755
139	0.2932509995
140	0.2906560898
141	0.2902390099
142	0.2898243523
143	0.2894159126
144	0.2890090179
145	0.2886075211
146	0.2882073021
147	0.2878100777
148	0.287414093
149	0.2870194054
150	0.2866262817
151	0.2862351036
152	0.2858400726
153	0.2854570389
154	0.2850725174
155	0.2846902466
156	0.2843091202
157	0.2839330673
158	0.2835595322
159	0.2831876564
160	0.2828220558
161	0.2824537659
162	0.2820872116
163	0.2817224503
164	0.2813627625
165	0.2810069466
166	0.2806492805
167	0.2802932739
168	0.2799388123
169	0.2779315948
170	0.2775732994
171	0.2772231865
172	0.2768689728
173	0.2765158844
174	0.2761641121
175	0.2758139038
176	0.2754660416
177	0.275126152
178	0.2730986023
179	0.2727493668
180	0.2724048615
181	0.2720620728
182	0.2717225838
183	0.2713856506
184	0.2710441208
185	0.2707143021
186	0.2703862762
187	0.2700600433
188	0.2697310829
189	0.266906662
190	0.2647883224
191	0.2644480515
192	0.264115963
193	0.2637848473
194	0.2634565353
195	0.2631363487
196	0.262818737
197	0.2625031281
198	0.2621901894
199	0.2618801689
